artist,color
dumitru ghia,#FFFF00
vasily sadovnikov,#00FFFF
antoine blanchard,#000000
chaim soutine,#0000FF
abraham manievich,#FF00FF
johan hendrik weissenbruch,#808080
aleksey savrasov,#008000
anton melbye,#00FF00
wolfgang paalen,#800000
vasile popescu,#000080
arturo souto,#808000
istvan farkas,#800080
pierre daura,#FF0000
vasily tropinin,#C0C0C0
artemisia gentileschi,#008080
nicolae grigorescu,#FFFFFF
constantin brancusi,#FFFF00
mordecai ardon,#00FFFF
john henry twachtman,#000000
elmer bischoff,#0000FF
arshile gorky,#FF00FF
constant troyon,#808080
frank johnston,#008000
henry raeburn,#00FF00
yves tanguy,#800000
polychronis lembesis,#000080
gregoire boonzaier,#808000
octav angheluta,#800080
tsuguharu foujita,#FF0000
henri rousseau,#C0C0C0
domingos sequeira,#008080
helene schjerfbeck,#FFFFFF
marevna marie vorobieff,#FFFF00
hans richter,#00FFFF
amadeo de souza cardoso,#000000
jan sluyters,#0000FF
ilka gedo,#FF00FF
gustave boulanger,#808080
joshua reynolds,#008000
louis janmot,#00FF00
volodymyr orlovsky,#800000
george catlin,#000080
john lavery,#808000
fyodor solntsev,#800080
john hoppner,#FF0000
mikhail shibanov,#C0C0C0
mily possoz,#008080
paul signac,#FFFFFF
mario eloy,#FFFF00
miriam schapiro,#00FFFF
jimmy ernst,#000000
anton azbe,#0000FF
henry herbert la thangue,#FF00FF
burhan dogancay,#808080
charles sheeler,#008000
adam baltatu,#00FF00
robert julian onderdonk,#800000
john crome,#000080
konstantinos volanakis,#808000
thomas cole,#800080
iosif iser,#FF0000
alice neel,#C0C0C0
